lr,weight_decay,batch_size,dropout,hidden_dim,num_layers,val_loss,test_loss,mae
0.001,0.0001,32,0.3,32,3,,,
0.001,0.0001,32,0.3,64,3,,,
0.001,0.0001,8,0.5,128,2,,,
0.001,0.0001,16,0.5,128,2,,,
0.001,0.0001,64,0.5,128,2,,,
0.001,0.0001,128,0.5,128,2,,,
0.002,0.0005,32,0.7,64,1,,,
0.002,0.0001,128,0.7,64,3,,,
0.002,0.0001,64,0.4,512,2,,,
0.005,0.005,128,0.5,32,3,,,
0.0005,0.005,16,0.7,512,1,,,
0.001,0.0,128,0.7,512,1,,,
0.001,0.001,128,0.4,256,2,,,
0.0005,5e-05,32,0.3,64,2,,,
0.005,0.0,128,0.4,128,2,,,
0.0005,0.0001,64,0.6,192,2,,,
0.003,1e-05,128,0.4,192,1,,,
0.003,0.001,16,0.6,512,3,,,
0.0001,0.001,16,0.5,256,1,,,
0.003,0.0001,64,0.1,64,2,,,
0.002,1e-05,32,0.3,128,2,,,
0.0005,0.0001,32,0.4,192,3,,,
0.005,0.0,128,0.4,32,1,,,
0.003,0.005,8,0.5,128,3,,,
0.005,5e-05,8,0.3,96,1,,,
0.002,0.001,8,0.6,512,3,,,
0.005,0.0,8,0.2,96,2,,,
0.0003,0.001,32,0.2,64,3,,,
0.005,5e-05,32,0.3,384,1,,,
0.005,1e-05,8,0.3,96,3,,,
0.0003,0.0005,64,0.6,512,3,,,
0.001,5e-05,16,0.7,128,3,,,
0.002,0.0005,16,0.7,32,2,,,
0.003,0.0005,16,0.2,128,2,,,
0.001,1e-05,8,0.7,128,3,,,
0.005,0.0,64,0.1,32,2,,,
0.001,0.001,32,0.5,64,3,,,
0.0003,0.001,64,0.5,512,1,,,
0.005,5e-05,64,0.6,512,2,,,
0.0005,0.0005,16,0.5,192,1,,,
0.003,1e-05,64,0.2,128,1,,,
0.003,1e-05,128,0.3,512,2,,,
0.0001,0.001,32,0.2,512,3,,,
0.0005,5e-05,64,0.1,96,2,,,
0.003,0.0001,32,0.1,128,3,,,
0.0001,0.0,64,0.2,256,3,,,
0.001,0.0,128,0.3,384,1,,,
0.0003,0.0,64,0.5,512,3,,,
0.002,0.0005,32,0.1,64,3,,,
0.0005,0.005,8,0.5,192,3,,,
0.001,0.001,128,0.5,96,1,,,
0.001,0.0,16,0.2,32,3,,,
0.0003,0.0005,8,0.4,128,1,,,
0.0003,0.0001,32,0.3,128,3,,,
0.003,0.0001,8,0.6,384,2,,,
0.0001,0.0001,16,0.3,96,2,,,
0.005,1e-05,32,0.2,128,2,,,
0.0005,0.005,128,0.5,512,2,,,
0.0005,0.001,8,0.7,256,2,,,
0.0003,5e-05,16,0.4,96,3,,,
0.003,0.005,8,0.5,256,1,,,
0.005,0.0005,16,0.5,192,2,,,
0.002,0.0,16,0.5,384,3,,,
0.002,5e-05,32,0.7,64,2,,,
0.002,0.0001,16,0.1,192,2,,,
0.0005,0.001,8,0.6,96,1,,,
0.0005,0.0005,32,0.6,32,3,,,
0.003,5e-05,8,0.2,256,1,,,
0.003,0.005,64,0.2,384,1,,,
0.0003,0.0,128,0.7,32,1,,,
0.0005,0.001,128,0.6,128,3,,,
0.0001,0.0005,8,0.3,64,2,,,
0.0001,0.0005,64,0.6,512,3,,,
0.0005,0.0005,8,0.3,512,2,,,
0.005,5e-05,128,0.2,128,3,,,
0.003,1e-05,64,0.6,384,1,,,
0.003,5e-05,128,0.7,384,1,,,
0.0003,0.001,128,0.3,96,3,,,
0.001,0.0005,128,0.7,32,1,,,
0.005,0.0,128,0.7,256,3,,,
0.002,0.005,64,0.4,512,3,,,
0.005,0.001,16,0.2,96,1,,,
